Gene
IGHMBP2
MLLT11
PAX8
MMP2
TBC1D31
RGS2
PSMB10
CERK
PCCB
ANKRD10
GLRX
SLC35A1
HMGA2
PTGS2
CORO1A
FBXO11
FEZ2
ATF6
TERT
ANXA7
NRAS
DNAJC15
PYCR1
PIK3CA
SMNDC1
ATG3
MAN2B1
KIF5C
ADI1
CASK
EGF
TOMM34
DPH2
UGDH
LPGAT1
EPHB2
PTPRC
STK10
SMC1A
SQRDL
CSNK1A1
ZNF589
PAFAH1B1
SLC35B1
BAMBI
FKBP14
TSEN2
LRRC41
USP14
RAP1GAP
TCERG1
MICALL1
FAM63A
PGRMC1
CTSD
THAP11
FOXO3
SPDEF
ARHGEF2
SLC1A4
CXCL2
CASP3
RAB11FIP2
CLIC4
SOX2
SIRT3
MELK
CYCS
JADE2
TIMELESS
INSIG1
DDX42
PHKA1
NSDHL
CCDC85B
FSD1
PTPN6
PFKL
POLB
APBB2
TBC1D9B
ECD
MAP7
RPP38
WDR61
CPSF4
SLC25A14
TNFRSF21
NPDC1
PCBD1
MAMLD1
NPC1
TCTN1
SPAG4
VAV3
MAPK9
HOXA10
DECR1
GNA15
EXT1
OXCT1
PAF1
C2CD2
CSRP1
TRIB1
TICAM1
KDM5A
PPIC
CTSL
ST6GALNAC2
HTRA1
RBM34
HOOK2
PXN
DHDDS
NOSIP
ERBB2
TOR1A
ACBD3
ARNT2
FOSL1
CNPY3
HSPB1
ME2
ADH5
PLA2G15
PRKCH
DHRS7
CBR1
CCNA1
STXBP2
DDX10
ADCK3
STAP2
RASA1
FYN
MPC2
CRELD2
ERBB3
TRAK2
PRKCD
ATF5
MEST
IL1B
ADAT1
SCCPDH
NOLC1
UBE3C
NFATC3
LRPAP1
GPER1
FPGS
CDKN2A
DNM1L
CCNH
WDR7
FAM20B
EPB41L2
PCMT1
POLR2K
LIPA
TCEA2
HIF1A
ORC1
DNTTIP2
RALA
ZNF586
BHLHE40
CDCA4
RAB31
CASP2
KDELR2
PAK6
ENOSF1
MBOAT7
PNKP
KIAA0100
RPS6
HS2ST1
BDH1
DUSP22
NGRN
MRPL19
TRAPPC6A
FASTKD5
C5
PXMP2
MNAT1
RAD9A
CCP110
GABPB1
IKBKB
PIK3C3
BCL7B
STAT1
ISOC1
TMEM110
LRP10
VAPB
SCARB1
COASY
UBE2A
HLA-DMA
SORBS3
RAI14
MYC
SMAD3
PLSCR1
RPS5
ATF1
TP53BP2
LGALS8
KLHDC2
PLEKHJ1
DNAJB1
EPRS
FZD7
NFKBIA
SPTAN1
AGL
CAB39
FOXJ3
PCM1
OXSR1
PUF60
ST7
WIPF2
HDAC6
PTK2
CDK5R1
NT5DC2
SLC2A6
EIF4EBP1
CRYZ
PTPN1
TP53BP1
FHL2
ICAM3
ABHD6
SESN1
SLC25A13
ARL4C
RAB4A
IFRD2
PARP1
SLC25A46
ETS1
KIAA0907
DENND2D
MCUR1
CREG1
TCFL5
MRPS2
LAGE3
CEBPZ
ACD
PRR15L
SCYL3
MAPKAPK3
GPC1
POLG2
HSD17B11
SUZ12
IGFBP3
SNX7
PIH1D1
PRCP
NPRL2
SSBP2
SMC4
ADGRG1
RNH1
WASF3
RSU1
FAT1
NFATC4
SNAP25
KDM5B
CLPX
CD40
KEAP1
IGF1R
SOX4
PHKG2
DFFA
CNDP2
RRP12
DAXX
FUT1
SNX6
CEBPD
NR1H2
COL1A1
AKT1
PSMB8
IKZF1
IL4R
SYNE2
DUSP4
LBR
SCAND1
MYCBP2
GDPD5
TUBB6
SPR
RTN2
PACSIN3
CDH3
BAD
PAK4
GNPDA1
MCOLN1
PDHX
CDK4
MTA1
APOE
YTHDF1
STAT5B
MTERF3
YKT6
TLK2
SNX11
TSTA3
HYOU1
DHX29
FRS2
PSMD4
EXOSC4
GRB7
WFS1
EPHA3
TMEM97
CSNK1E
DNAJB6
HOMER2
DNMT3A
NCOA3
CSNK2A2
SCRN1
PLS1
PSMD10
PSMD2
EVL
ITGB5
USP6NL
HMGCR
MOK
WDTC1
CASP7
BTK
GATA3
NENF
ERO1A
LYPLA1
EGFR
TM9SF2
RRP8
MAST2
PTK2B
SKIV2L
IER3
PPOX
TJP1
KLHL9
TRIM13
MYLK
DYNLT3
SLC35F2
HERC6
DERA
PDGFA
FGFR4
SCP2
CHMP4A
STX4
EDN1
MEF2C
HPRT1
ACLY
CHP1
ILK
MBTPS1
ECH1
ZNF395
TSPAN3
CLSTN1
PTPN12
CDKN1B
ADGRE5
GOLT1B
CGRRF1
RHEB
TRIM2
CYTH1
LOXL1
TATDN2
TIMM17B
NPEPL1
XPO7
LGMN
SH3BP5
RFNG
CASP10
MAP4K4
UBE2J1
TMEM2
CDK6
TIAM1
LYN
PPP2R5E
SRC
PKIG
NFKBIE
GPATCH8
DDR1
ABL1
MYCBP
CREB1
DLD
SLC35A3
PRAF2
CIAPIN1
FBXO7
ACAA1
CCNB1
INPP4B
BMP4
DFFB
FAM69A
ADRB2
IFNAR1
POLR1C
NVL
LSR
MKNK1
MBNL1
RPA3
SHB
TPM1
P4HTM
PHGDH
PPP2R3C
PAK1
METRN
ATP6V1D
CD44
TIMM22
PRKAG2
POLD4
MTF2
XBP1
MVP
ARID4B
GNB5
NR2F6
HLA-DRA
GNA11
ZMYM2
BECN1
TGFBR2
PLOD3
AKAP8
RFC5
DUSP14
PTPRK
TMEM5
NNT
POLR2I
LYRM1
G3BP1
PGAM1
MAP2K5
GFOD1
TBP
HEATR1
EBP
BLCAP
NISCH
SGCB
NUDT9
C2CD2L
SFN
CHMP6
ZW10
PTPRF
MYL9
TEX10
KLHL21
PEX11A
SMARCC1
APP
UTP14A
PLEKHM1
ASCC3
TCTA
PSMF1
DNAJA3
AXIN1
NARFL
SLC27A3
PIK3C2B
CBR3
RALB
FKBP4
NCK1
CLTC
VAT1
TP53
FAIM
STAMBP
SKP1
KIT
HMGCS1
AMDHD2
ATP2C1
SPRED2
TLE1
KTN1
MAT2A
CCL2
PAICS
BACE2
KIAA0196
SPTLC2
IKBKE
MFSD10
SPEN
CEBPA
FZD1
BPHL
ALDOC
FBXL12
PHKB
UBE2L6
PSIP1
CHEK2
CDK19
PNP
DCK
CRTAP
DDB2
ADO
CAPN1
NFKB2
HADH
PAPD7
ENOPH1
TMED10
NCK2
TMEM50A
RALGDS
ATMIN
S100A4
PPP1R13B
CD320
DUSP3
CANT1
ACOT9
TCEAL4
IGF2BP2
PRKCQ
CETN3
PRKX
HEBP1
NCAPD2
VDAC1
HDGFRP3
SATB1
BID
UBE3B
TSKU
TOMM70A
NIT1
IPO13
GHR
ABCF1
CRK
CALM3
CAST
ACAT2
CCDC92
DUSP6
CTNND1
ALAS1
NET1
EML3
CCND1
PLP2
ASAH1
CCNE2
BUB1B
GSTM2
FOXO4
BNIP3L
MUC1
RAC2
EIF5
KAT6A
MIF
INPP1
EIF4G1
DSG2
CYB561
RNMT
LAMA3
ZFP36
AURKA
ST3GAL5
MMP1
KDM3A
TXNDC9
HSPA4
CIRBP
JUN
PMM2
DAG1
PROS1
TRAM2
PECR
TBXA2R
FAS
BAG3
GTF2A2
PPARG
GNAI1
SHC1
MAPK1IP1L
ATP5S
KCTD5
RPN1
ABCF3
WRB
NOTCH1
CCDC86
RFX5
SENP6
MAPK13
CISD1
EPN2
HSPA8
